ISBN,Título,Resumo,Imagem_Lisboa,Autor_Beja,Publicacao_Beja,Colecao_Beja,Assuntos_Beja,CDU_Beja
978-989-8145-83-3,Não é nada difícil : o livro dos labirintos,"Já todos ouvimos a expressão “Isso é mais difícil do que encontrar uma agulha num palheiro!” Mas quem disse que encontrar uma agulha num palheiro é assim tão difícil? Este livro vem provar que muitas coisas aparentemente difíceis (e há tantas!) podem ser, afinal, bem mais fáceis do que pensávamos. Neste livro, a história só avança à medida que são atravessados labirintos (uns mais fáceis, outros mais difíceis). E há aqui 14 labirintos![Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=455812&img=40611&res=150&thb=1&pag=1,"Matoso, Madalena, 1974-","Carcavelos : Planeta Tangerina, 2017",,Leitores iniciais,087.5(5-10)
978-972-26-2260-8,A princesa da chuva,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=456272&img=40776&res=150&thb=1&pag=1,"Andresen, Sofia de Melo Breyner, 1919-2004;Afonso, Fátima, 1962-, il.","Porto : Civilização, 2005",Obra completa,,087.5(5-10)
978-989-23-2912-3,O nabo gigante,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=456445&img=40824&res=150&thb=1&pag=1,"Mota, António, 1957-;Marques, Catarina Correia, 1980-, il.","Alfragide : Asa, 2015",,,087.5(5-10)
978-989-707-533-9,Aqui d'el rei : todos os reis de Portugal num só livro,"Livro com informação, curiosidades, 23 sugestões de brincadeiras com a história e uma barra cronológica destinadas a conhecer melhor os Reis de Portugal.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=456512&img=40870&res=150&thb=1&pag=1,"Fernandes, Paula, 1980-;Flores, Mariana, 1988-, il.","Amadora : Booksmile, 2017",,Leitores iniciais,087.5:929
978-989-557-213-7,O dia em que o mar desapareceu,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=456518&img=40872&res=150&thb=1&pag=1,,,,,
978-989-707-525-4,"Vamos conhecer os alimentos! : factos, curiosidades e tudo o mais que precisas de saber sobre os alimentos","Ajudar as crianças a alimentarem-se de forma saudável não é tarefa fácil, especialmente quando se trata de alguns vegetais ou alimentos com aspeto menos apetitoso. “Vamos Conhecer os Alimentos” explica aos mais novos o que devem saber sobre alimentação equilibrada, esclarece-os acerca da origem de grande diversidade de alimentos e como podem fazer parte de processos alimentares saudáveis. Com ilustrações elucidativas, este livro contém ainda atividades, experiências e receitas simples, mas nutritivas. A sua leitura mostra como é importante comer bem, com nutrientes suficientes em quantidade e qualidade.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=456931&img=41187&res=150&thb=1&pag=1,"Abecassis, Mariana;Martins, Elsa, il.","Amadora : BookSmile, 2017",,Leitores iniciais,087.5:612.39
978-989-8145-82-6,Um ano inteiro : almanaque da natureza,"Almanaque, iniciad no solstício de inverno, convida os leitores à descoberta da natureza.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=457247&img=41229&res=150&thb=1&pag=1,"Martins, Isabel Minhós, 1974-;Carvalho, Bernardo Pego de, 1973-, il.","Carcavelos : Planeta Tangerina, 2017",,Leitores iniciais,087.5:502
978-972-24-1233-9,Tudo ao contrário!,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=457279&img=41134&res=150&thb=1&pag=1,"Soares, Luísa Ducla, 1939-;Bergonse, Raffaello, 1978-, il.","Lisboa : Livros Horizonte, 2007",,,087.5(5-10)
978-972-0-72874-6,Quero crescer!,Chico está cansado de ser pequeno e de ter de obedecer. Quer ser grande e livre. Faz várias tentativas até descobrir a solução. O problema é que nem sempre os desejos se realizam da forma que queremos...[Resumo da responsabilidade do Plano Nacional de Leitura 2027],http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=457298&img=41185&res=150&thb=1&pag=1,"Soares, Luísa Ducla, 1939-;Folgueira, Rodrigo, 1972-, il.","Porto : Porto, 2017",Luísa Ducla Soares,Leitores iniciais,087.5(5-10)
978-972-24-1009-0,Destrava línguas,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=457308&img=41172&res=150&thb=1&pag=1,,,,,
978-989-8868-14-5,Um capuchinho vermelho,"Num diálogo com a tradição, que é também uma ruptura, rescreve-se a história do Capuchinho Vermelho e do Lobo Mau, atribuindo novos papéis a cada um. Uma história repleta de humor.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=457396&img=41204&res=150&thb=1&pag=1,"Leray, Marjolaine;Afonso, Maria, 1980-, il.","Lisboa : Orfeu Negro, 2018",Orfeu Mini,Estórias sobre o Capuchinho,087.5(5-10)
978-989-8166-35-7,Nunca se passa nada no meu bairro,"Carlos Alberto é um rapaz descontente com a vida, mal-humorado que olha o mundo e vê tudo a preto e branco. Não adivinha as aventuras que lhe escapam, naquele bairro onde, para ele, nunca se passa nada![Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=457405&img=41386&res=150&thb=1&pag=1,"Raskin, Ellen","Figueira da Foz : Bruaá, 2017",,Leitores iniciais,087.5(5-10)
978-989-99998-5-5,A nuvem,"Certo dia, o vento desapareceu e uma nuvem instalou-se no céu, mesmo por cima de uma estrada. E assim permaneceu, estática, dias a fio. O fenómeno depressa chamou a atenção de toda a gente. Seria milagre, prenúncio de catástrofe ou somente poluição? As teorias multiplicaram-se, e a discórdia não tardou. Até que, um dia, a desconcertante ordem natural das coisas acabou por se impor...[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=457407&img=41375&res=150&thb=1&pag=1,"Mendes, Rita Canas, 1984-;Fazenda, João, 1979-, il.","Lisboa : Pato Lógico, 2018",,Leitores medianos,087.5(5-10)
978-989-8166-36-4,A meia perdida,"Álbum puro no qual a sequência de imagens, com aberturas e recortes, deixa antever e entrever pormenores importantes para o desvendar do mistério da meia desaparecida, num clima de suspense crescente.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=457409&img=41387&res=150&thb=1&pag=1,"Bösenberg, Anine","Figueira da Foz : Bruaá, 2017",,Fundo de Imagem,087.5(5-10)
978-989-8868-16-9,Uma rosa na tromba de um elefante,"Ao génio poético do escritor surrealista António José Forte juntam-se as bem-humoradas e coloridas ilustrações de Mariana Malhão. Publicado originalmente em 1971, este texto atravessou gerações, tendo agora sido recuperado, com novas ilustrações, para os leitores do nosso tempo.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=457420&img=41372&res=150&thb=1&pag=1,"Forte, António José, 1931-1988;Malhão, Mariana, 1994, il.","Lisboa : Orfeu Negro, 2018",Orfeu Mini,Leitores iniciais,087.5(5-10)
978-989-8145-85-7,A orquestra : uma volta ao mundo à procura dos músicos,"O grande concerto está marcado para daqui a uma semana, mas os membros da orquestra desapareceram sem deixar rasto! Felizmente, não é grave... Ao que parece estão todos de férias e o maestro até tem recebido alguns postais simpáticos que lhe dão pistas sobre o paradeiro dos seus queridos músicos. O maestro e o seu fiel assistente decidem então pôr-se a caminho, à procura dos músicos pelos quatro cantos do mundo. Mas entre as ruas apinhadas e confusas, não é fácil descobri-los![Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=457427&img=41376&res=150&thb=1&pag=1,"Perarnau, Chloé;Martins, Isabel Minhós, 1974-, trad.","Carcavelos : Planeta Tangerina, 2018",,Leitores medianos,087.5(5-10)
978-989-555-458-4,A minha mãe é a melhor do mundo,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=409011&img=24217&res=150&thb=1&pag=1,"Carvalho, Maria João Lopo de, 1962-;Nogueira, Helena, il.","Alfragide : Oficina do Livro, 2011",,,087.5(5-10)
978-972-23-3952-0,Eu sei tudo sobre o Pai Natal,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=457539&img=41217&res=150&thb=1&pag=1,"Delebarre, Nathalie;Blanz, Aurélie, co-autor","Queluz de Baixo : Presença, 2008",,,087.5(0-5)
978-972-0-70694-2,Tudo o que deves saber! : corpo humano,"Introdução ao corpo humano, analisando com relativa profundidade muitos dos processos e funcionamento dos sistemas do corpo humano, como os sistemas circulatório, nervoso, esquelético e imunológico. Respostas a questões como ""o que se passa na célula"", ""como trabalham os músculos"", ""para onde vão os alimentos"", e tantas outras, são apresentadas de forma clara e adequada ao nível etário a que se destina, sendo acompanhadas por ilustrações claras e explicativas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458315&img=41430&res=150&thb=1&pag=1,"Farndon, John, 1960;Hutchinson, Tim, co-autor;Tibério, Lucília, trad.","Porto : Porto, 2017",,Corpo humano,087.5:611
978-972-793-217-7,A fábrica de chocolate do senhor Coelho,Queres saber como se fazem os famosos ovos de chocolate? Então sê bem-vindo à Fábrica de Chocolate do Senhor Coelho! Aqui trabalham muitas galinhas que comem enormes quantidades de chocolate para chocarem ovos de chocolate. Tudo funciona relativamente bem até ao momento em que o ganancioso Senhor Coelho decide aumentar a produção para assim aumentar os lucros. Será que as galinhas vão gostar do seu plano?[Resumo da responsabilidade do Plano Nacional de Leitura 2027],http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458450&img=41466&res=150&thb=1&pag=1,"Dolan, Elys;Costa, Pedro, trad.","Galiza-Estoril : Minutos de Leitura, 2018",,Leitores iniciais,087.5(5-10)
978-972-0-70695-9,Tudo o que deves saber!,"Este livro é a fascinante história por trás das atividades diárias que tomamos como garantidas. Como chega a eletricidade a nossa casa? Como é que o frigorífico arrefece os alimentos? Como os meteorologistas preveem o tempo? Ou de onde vem o gás que aquece nossa casa? Encontramos as respostas para essas perguntas - e muitas mais - nas páginas deste livro, repleto de ilustrações apelativas e explicativas, acerca do funcionamento de diversos processos e tecnologia que usamos no dia-a-dia.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458454&img=41465&res=150&thb=1&pag=1,"Farndon, John, 1960;Beattie, Rob, 1955, co-autor","Porto : Porto, 2017",,Leitores medianos,087.5:62
978-989-749-084-2,Mais um,"A mãe está mais gordinha e o coelhinho percorre a floresta, dando a boa notícia aos outros animais seus amigos. A família cresce! ""Mas quando é que o irmão nascerá?"" - pergunta incessantemente o coelhinho, a quem a mãe sempre responde: ""Vai nascer quando já não conseguir ver os meus pés"".[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458498&img=41481&res=150&thb=1&pag=1,"González, Olalla;Taeger, Marc, il.;Ramos, Elisabete, 1976-, trad.","Matosinhos : kalandraka, 2017",Livros para Sonhar,Leitores iniciais,087.5(5-10)
978-989-99784-8-5,E para o poeta outro modo de olhar,Antologia de poemas de João Manuel Ribeiro com selecção e posfácio de Sara Reis da Silva.[Resumo da responsabilidade do Plano Nacional de Leitura 2027],http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458499&img=41480&res=150&thb=1&pag=1,"Ribeiro, João Manuel, 1968-;Silva, Sara Reis da, 1972-, compil.;Dias, Anabela, il.","Porto : Trinta por Uma Linha, 2017",,Leitores iniciais,087.5(5-10)
9789896795061,Desafios em 77 palavras : do blogue Histórias em 77 palavras,"A partir de um blogue ""Histórias em 77 palavras"", são propostos trinta desafios de escrita criativa, numa constante interatividade com os jovens leitores.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458550&img=41548&res=150&thb=1&pag=1,"Santos, Margarida Fonseca, 1960-;Jesus, Joana , il.","Lisboa : Edicare, 2017",,Leitores medianos,087.5:80
978-989-8145-87-1,Fim? : isto não acaba assim,"As atribulações de quem, em pequenino, queria ser reparador de finais de histórias porque sempre adorou as coisas incríveis que nelas acontecem. Só não gosta dos fins que as arruínam. Esta história tem a sorte de ter um final surpreendente graças a algumas ajudas preciosas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458558&img=41510&res=150&thb=1&pag=1,"Vola, Noemi, 1993-;Martins, Isabel Minhós, 1974-, trad.","Carcavelos : Planeta Tangerina, 2018",,Pré-leitores,087.5(5-10)
978-989-641-803-8,O louco Verão dos Mumins,"Os Mumins, ameaçados por uma onda gigante, partem e encontram abrigo no lar à sua medida: um teatro flutuante.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458618&img=41527&res=150&thb=1&pag=1,"Jansson, Tove, 1914-2001;Cardoso, Maria Eduarda, trad.","Lisboa : Relógio D'Água, 2017",Universos Mágicos,Leitores iniciais,087.5(10-15)
978-989-707-579-7,Vinte fábulas de La Fontaine,"Seleção de vinte fábulas, bem conhecidas do público em geral, desde ""A cigarra e a formiga"" até à ""O leão e o burro vão à caça"", passando por ""O cão e o lobo"" ou ""A galinha dos ovos de ouro"", entre outras.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458624&img=41524&res=150&thb=1&pag=1,"Letria, José Jorge, 1951-;La Fontaine, Jean de, 1621-1695, co-autor;Vidinhas, Cátia, 1989-, il.","Amadora : Fábula,",Pé de Pato ; 5,Fábulas,087.5(5-10)
978-989-99583-5-7,Inventário ilustrado dos dinossauros,"Inventário apresentando, por imagens e texto, 46 espécies de dinossauros.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458625&img=41532&res=150&thb=1&pag=1,"Aladjidi, Virginie, 1971-;Tchoukriel, Emmanuelle, 1982-, il.;Ramos, Elisabete, 1976-, trad.","Matosinhos : Faktoria K de Livros, 2018",,Leitores iniciais,087.5:59
978-989-707-462-2,Seis histórias tradicionais portuguesas,Seis histórias tradicionais portuguesas : Os dois fradinhos; A sopa de pedra; A gaitinha mágica; Frei João sem cuidados; O moço de cego; Há um ladrão debaixo da cama.[Resumo da responsabilidade do Plano Nacional de Leitura 2027],http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458630&img=41526&res=150&thb=1&pag=1,"Moutinho, José Viale, 1945-;Peleja, Helder Teixeira, 1978-, il.","Amadora : Fábula, 2017",Pé de Pato ; 2,Autores Locais,087.5(10-15)
978-989-8868-19-0,Horizonte,"O horizonte está em todo o lado, ora próximo, ora distante; discreto ou silencioso; ora visível, ora invisível; infinito. Insondável?[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458676&img=41549&res=150&thb=1&pag=1,"Celas, Carolina","Lisboa : Orfeu Negro,",Orfeu Mini,Leitores iniciais,087.5(5-10)
978-989-749-088-0,Canja de galinha com arroz : o livro dos meses,"Em forma de pequenos poemas, um para cada mês do ano, com imaginação e sentido de humor, o menino vai insistindo na sua predileção pela canja de galinha com arroz.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458682&img=41547&res=150&thb=1&pag=1,"Sendak, Maurice, 1928-2012;Almeida, Carla Maia de, 1969-, trad.","Matosinhos : Kalandraka, 2018",,Leitores iniciais,087.5(5-10)
978-989-99658-9-8,Estás tão crescida,"[Resumo da responsabilidade do Plano Nacional de Leitura 2027]A história de uma menina fora do vulgar. Ela crescia a olhos vistos e já era a menina mais alta do mundo o que se tornava um problema para quem a rodeava. Um dia, as pessoas descobriram a sua utilidade e a menina foi fazendo o que lhe pediam até já não servir para nada. Partiu, passou a viver na floresta onde conheceu a Menina Mais Pequena do Mundo e fez novos amigos. A mudança chega no fim...[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458688&img=41564&res=150&thb=1&pag=1,"Gonçalves, António Jorge, 1964-","Lisboa : Pato Lógico, 2018",Orfeu Mini,Leitores iniciais,087.5(5-10)
978-989-99996-0-2,Pó-pó-pó tiroliroliroló,"Coletânea de doze poemas, com temas variados e sugestivos, onde a poesia e o humor dão as mãos em jogos de sonoridades e ritmos que se estendem por páginas de cores e formas vibrantes.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458690&img=41551&res=150&thb=1&pag=1,"Ribeiro, João Manuel, 1968-;Cardoso, José, il.","[S.l] : Trinta por uma linha, 2017",,Pré-leitores,087.5(5-10)
978-989-749-082-8,João e mais oito : um livro para contar,"Está o João descansado a ler um livro quando é interrompido por uma série de animais e, ainda, um ladrão. Aborrecido com tanta barafunda, o menino tem uma ideia: começar a contar ao contrário para todos desaparecerem e o deixarem, finalmente, em paz e sossego.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458693&img=41557&res=150&thb=1&pag=1,"Sendak, Maurice, 1928-2012;Almeida, Carla Maia de, 1969-, trad.","Matosinhos : Kalandraka, 2017",,Leitores iniciais,087.5(5-10)
978-989-8868-22-0,O pior aniversário da minha vida,"O menino está muito apaixonado pela Júlia e, quando ela o convida para a sua festa de aniversário, lá vai, com o seu inseparável coelho-anão, o Peúgas, e um belo presente. Na festa, depois de algumas peripécias embaraçosas, decide esconder-se, envergonhado e muito triste, a pensar que a Júlia, se calhar, já nem queria saber dele. Mas... uma grande surpresa o esperava.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458695&img=41559&res=150&thb=1&pag=1,"Chaud, Benjamin, 1975-;Afonso, Maria, 1980-, trad.","Lisboa : Orfeu Negro, 2018",Orfeu Mini,Pré-leitores,087.5(5-10)
978-989-99488-1-5,"Venci-te, Jeremias!","O medo é muito assustador e chama-se Jeremias. Parece impossível vencê-lo mas, afinal, a meiguice consegue o que a coragem não conseguiu.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458700&img=41641&res=150&thb=1&pag=1,"Cardoso, Inês, 1975-;Alves, Catarina, 1980-, il.","Braga : AL-Publicações, 2016",,Leitores iniciais,087.5(5-10)
978-989-8681-14-0,O que vamos contar?,"Na sala de aula, a professora propõe aos seus alunos que escrevam, em conjunto, um livro inspirado nas histórias contadas em casa, pelos pais, tios, avós e padrinhos. Como todos eles têm famílias vindas de diferentes países espalhados pelo mundo, todos se empenham e, com a ajuda da professora Maria, o resultado só pode ser espetacular.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458725&img=41572&res=150&thb=1&pag=1,"Magalhães, Ana Maria, pseud.;Pinheiro, Raquel, 1976-, il.","Cascais : Cercica, 2017",Todos a ler ; 4,,087.5(5-10)
978-972-793-208-5,Não há dragões nesta história,"O dragão, farto de ser o vilão das histórias com princesas e cavaleiros, decide partir em busca de uma história onde seja ele o herói. Mas vai ter de se esforçar muito para ver o seu desejo realizado.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458765&img=41582&res=150&thb=1&pag=1,"Carter, Lou, 1975-;Allwright, Deborah, il.;Costa, Pedro, trad.","Galiza-Estoril : Minutos de Leitura, 2018",,Pré-leitores,087.5(5-10)
978-989-749-098-9,"Tomás, o traquinas","De crocodilo, de leão ou de abelha... ninguém acha graça aos disfarces improvisados de Tomás. Rimas divertidas para rir até mais não![Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458787&img=41594&res=150&thb=1&pag=1,"Rico Ródenas, Jorge;Laura Cantone, Anna, trad.","Matosinhos : Kalandraka, 2018",,Leitores iniciais,087.5(5-10)
978-989-8195-77-7,O rapaz que tinha zero em matemática,"O Vasco é bom aluno a tudo exceto a matemática.Para ele, a matemática não serve para nada e ninguém o convence do contrário. Até que, um dia, com a ajuda do avô, o Vasco vai mudar de ideias.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458799&img=41613&res=150&thb=1&pag=1,"Soares, Luísa Ducla, 1939-;Fonseca, Ana, il.","Barcarena : Soregra, 2018",,Literatura Portuguesa,087.5(5-10)
978-989-8327-35-2,O dia em que os lápis desistiram,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=405409&img=23085&res=150&thb=1&pag=1,"Daywalt, Drew, 1970-;Jeffers, Oliver, 1977-, il.","Lisboa : Orfeu Negro, 2014",Orfeu Mini,,087.5(5-10)
978-972-0-72876-0,João Pestana,"História de um menino muito especial, chamado João Pestana e do que lhe aconteceu até descobrir a sua vocação: cantar cantigas de embalar aos meninos para os ajudar a adormecer.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458822&img=41606&res=150&thb=1&pag=1,"Soares, Luísa Ducla, 1939-;Silva, Ana Camila, il.","Porto : Porto, 2017",Luísa Ducla Soares,Leitores iniciais,087.5(5-10)
978-972-36-1621-7,Um drama de coelhos e galinhas : (para desdramatrizar os casos especiais da língua portuguesa),"[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Este livro tem como pano de fundo o imaginário de uma quinta e pretende entusiasmar as crianças na aventura da leitura, enquanto desdramatiza dois casos especiais da língua portuguesa. É uma história com moral ou várias morais, plena de valores protagonizados pelos animais, como a importância da amizade, solidariedade e espírito de entreajuda, sem deixar de realçar que a verdadeira solução para os problemas deve partir de nós mesmos.",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458848&img=41706&res=150&thb=1&pag=1,"Marques, Ana Isabel Mendes Rosa, 1966-;Beja. Governo Civil, il.","Porto : Afrontamento, 2017",,Leitores iniciais,087.5(5-10)
978-989-616-770-7,Mimi e Rogério e o cavaleiro malvado,"A bruxa Mimi e o seu gato Rogério vão ter a oportunidade de viver uma grande aventura na Idade Média e de dar uma lição a Sir Roderick, o cavaleiro malvado. Mas como é bom voltar a casa![Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458863&img=41628&res=150&thb=1&pag=1,"Thomas, Valerie, 1938-;Paul, Korky, 1951-, il.;Rafael, Helena, trad.","Lisboa : Gradiva, 2017",Gradiva Júnior,Leitores iniciais,087.5(5-10)
978-989-23-4002-9,Num tempo que já lá vai,"Laura interroga-se sobre o mundo de correria em que vive e quer saber como era antigamente. A avó Alice viaja, com ela, ao longo do tempo e dos objetos que já não existem, a partir de uma manta e um novelo mágicos.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458868&img=41650&res=150&thb=1&pag=1,"Araújo, Rosário Alçada, 1973-;Furtado, Patrícia, 1977-, il.","Alfragide : Gailivro, 2017",Vira a Página,Leitores iniciais,087.5(5-10)
978-972-0-72870-8,O coelhinho Afonso e outras histórias,Três contos cujas personagens são os animais: o coelhinho Afonso; os três porquinhos em nova versão; o urso e a formiga.[Resumo da responsabilidade do Plano Nacional de Leitura 2027],http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458875&img=41648&res=150&thb=1&pag=1,"Soares, Luísa Ducla, 1939-;Moreira, Ana, il.","Porto : Porto, 2017",,,087.5(5-10)
978-989-754-322-7,Homem-cão,"As aventuras do Homem-Cão, o melhor polícia da cidade, resultado de uma operação que meteu a cabeça do cão Greg, no corpo do agente Knight. O melhor polícia de sempre vai combater os planos maléficos do gato Petey, o génio do mal que, indirectamente está na origem do Homem-Cão.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458960&img=41753&res=150&thb=1&pag=1,"Pilkey, Dav, 1966-;Acebey, Mafalda, trad.","Barcarena : Marcador, 2017",,Leitores medianos,
978-972-21-1963-4,Uma flor chamada Maria,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=460128&img=42110&res=150&thb=1&pag=1,,,,,
978-972-24-1861-4,A verdadeira história do Pai Natal,História destinada aos meninos que ainda acreditam no Pai Natal mas também àqueles que já deixaram de acreditar.[Resumo da responsabilidade do Plano Nacional de Leitura 2027],http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=460195&img=42138&res=150&thb=1&pag=1,"Lobão, Alexandre;Caiano, Rachel, 1977-, il.","Lisboa : Livros Horizonte, 2017",Álbuns 58197,Literatura Brasileira,087.5(5-10)
978-989-8888-02-0,O sorriso da Julieta,"História de afetos, entremeada de sorrisos e partilha.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=460422&img=42229&res=150&thb=1&pag=1,"Cardoso, Rita, 1981-;Oliveira, Ana, il.","Alcochete : Alfarroba, 2017",,Leitores iniciais,087.5(5-10)
978-989-665-329-3,Orlando e o rinoceronte,"Orlando e o rinoceronte é o primeiro livro da série As Aventuras de Orlando. Neste livro, Orlando viaja com o rinoceronte mais famoso do mundo: Ganda, o rinoceronte indiano que foi dado de presente a Afonso de Albuquerque, então governador na Índia.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=461864&img=77509&res=100&thb=1&pag=1,"Coelho, Alexandra Lucas, 1967-","Lisboa : Alfaguara, 2017",As aventuras de Orlando ; 1,Leitores iniciais,087.5(10-15)
978-989-707-447-9,O urso e o piano,O encontro improvável entre um urso e um piano numa história belíssima sobre a amizade e a importância de se ter uma casa.[Resumo da responsabilidade do Plano Nacional de Leitura 2027],http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=463536&img=43010&res=150&thb=1&pag=1,"Litchfield, David, 1979-;Gomes, Luísa Costa, 1954-, trad.","Amadora : Booksmile, 2017",,Literatura Inglesa,087.5(5-10)
