ISBN,Idade,Título,Resumo,Imagem_Lisboa,Autor_Beja,Publicacao_Beja,Colecao_Beja,Assuntos_Beja,CDU_Beja
978-989-54738-1-6,3-5,Eu vou ser,"Este livro às tiras ou fatias (mix-and-match) é uma espécie de máquina de sonhos e ambições que os leitores podem manipular, gerando um mundo de possibilidades quase infinitas para aquilo que querem ou desejam ser. A matriz poética dos textos é potencial pelas ilustrações e múltiplas recompilações que elas permitem, combinando jogo e criação poética e favorecendo o desenvolvimento da imaginação e da criatividade de forma sempre surpreendente a cada virar de página.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=491669&img=53163&res=100&thb=1&pag=1,"Letria, José Jorge, 1951-;Letria, André, 1973-, il.","[Santa Maria dos Olivais] : Pato Lógico, 2021",,Literatura Portuguesa,087.5(5-10)
978-989-8868-85-5,3-5,És importante,"Somos importantes porque existimos. E existimos em comunidade. Em casa, na escola, no mundo, todos podemos fazer a diferença. Christian Robinson sublinha isso mesmo aos leitores deste livro, lembrando que, mesmo quem se sente só, significa alguma coisa para alguém algures. O livro é, pois, uma mensagem de amor e fraternidade, tão necessária nos tempos que correm.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=491411&img=52955&res=100&thb=1&pag=1,"Robinson, Christian, 1986-;Berhan, João, trad.","Lisboa : Orfeu Negro, 2020",,Literatura Americana,087.5(0-5)
978-989-8868-87-9,3-5,Grandes amigos,"O Zé e o Nico são grandes amigos. São inseparáveis. Até que, certa manhã, um rapaz chamado Gui ganha coragem para se juntar a eles. O Nico fica contente. Mas o Zé fica inseguro e deixa de ir brincar ao Monte do Cimo. Em vez disso, fica em casa sozinho. Mas tem saudades do amigo e das brincadeiras a dois. Um dia, ouve bater à porta. O Nico e o Gui prepararam uma surpresa! Tem fitas ondulantes, é de todas as cores, faz barulho e tem rodas. O que será? Um sinal de amizade é certamente, até porque este é um livro sobre a partilha e a aceitação.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=491371&img=52922&res=100&thb=1&pag=1,"Sarah, Linda;Davies, Benji, 1980-, il.;Lopes, Rui, trad.","Lisbos : Orfeu Negro, 2022",Orfeu mini,Literatura Inglesa,087.5(5-10)
978-989-8895-83-7,3-5,Eu posso explicar,"A narrativa verbo-icónica centra-se no tema do Natal e apresenta a voz do narrador infantil que se dirige ao Pai Natal naquilo que parece ser uma carta cheia de pedidos para aqueles que o rodeiam. Mas a observação das imagens permite perceber que os pedidos do narrador estão relacionados com as asneiras sucessivas que vai fazendo, cujas consequências e impacto parecem não ter fim e aos quais só a generosidade do Pai Natal poderá pôr cobro. Com muito humor, em resultado do cómico de situação, o livro promove a identificação dos leitores com a ação.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=491427&img=53026&res=100&thb=1&pag=1,"Mckenzie, Heath;Cabral, Afonso Reis, 1990-, trad.","Barcarena : Jacarandá, 2019",,Literatura Australiana,087.5(5-10)
978-989-749-122-1,3-5,O pequeno guerreiro,"Esta pequena narrativa em verso conta a história do que pensamos ser um pequeno índio, mas depois descobrimos ser apenas uma criança a brincar ao faz de conta, exigindo ao leitor uma reconfiguração das suas expectativas iniciais. As ilustrações e o formato reforçam a dimensão lúdica do livro.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=491833&img=53309&res=100&thb=1&pag=1,"Alcántara, Ricardo, 1946-;Gusti, 1963-, il.;Ramos, Elisabete, 1976-, trad.","Matosinhos : Kalandraka, 2020",Livros para sonhar,Literatura Uruguaia,087.5(0-5)
978-972-23-6241-2,3-5,O coala que foi capaz,"Mudar não é fácil. Que o diga Kevin, um coala que gosta de manter tudo na mesma, exactamente na mesma. Mas, quando um dia a mudança surge sem ser convidada, Kevin descobre que a vida pode estar cheia de novidades e ser maravilhosa![Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=481732&img=49435&res=100&thb=1&pag=1,"Bright, Rachel, 1979-;Field, Jim 1980-, il.;Babo, Carlos Grifo, 1919-, trad.","Barcarena : Presença, 2018",,,087.5(5-10)
978-972-53-0608-6,3-5,A escavadora e a flor,"A história do fascínio de uma escavadora por uma flor, que sobrevive no meio de uma cidade sempre em construção e que se revela indestrutível.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=472172&img=45817&res=150&thb=1&pag=1,"Kuefler, Joseph;Lima, Jorge, trad.","Lisboa : Bizâncio, 2019",,Pré-leitores,087.5(5-10)
978-989-8166-29-6,3-5,O urso que não era,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=428477&img=31358&res=150&thb=1&pag=1,"Tashlin, Frank, 1913-1972","Figueira da Foz : Bruaá, 2016",,,087.5(5-10)
978-972-0-70745-1,3-5,O novelo de emoções,"Marta é uma menina muito curiosa e cheia de energia, mas, por vezes, fica baralhada ao sentir, dentro dela, coisas que não consegue pôr cá para fora, em palavras; tão baralhada como um novelo feito de um emaranhado de muitas cores! O seu amigo Sukha – origami a que somos convidados a construir nas guardas do livro – explora, com situações do dia a dia, cada uma das quatro emoções primárias: medo, alegria, tristeza e aversão. De forma descomplicada, cada emoção é “desenleada”: reconhecida na sua expressão, valorizada na sua função e validada no seu propósito.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=472920&img=46152&res=150&thb=1&pag=1,"Neves, Elizabete, 1977-;Cóias, Natalina, 1972-, il.","Porto : Porto, 2019",,Literatura Portuguesa,087.5(5-10)
978-989-8868-67-1,3-5,Troca-tintas,"Era uma vez uma nuvem verde... e carregada de fruta? Este livro não está bom! Ou podem as nuvens e as árvores trocar de lugar, e o ilustrador colorir o mundo às avessas? TROCA-TINTAS convida-nos a desarrumar as ideias e a pintar a realidade de várias cores e tons![Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=488030&img=51729&res=100&thb=1&pag=1,"Viana, Gonçalo, 1974-","Lisboa : Orfeu Negro, 2019",,Literatura Portuguesa,087.5(5-10)
978-989-616-947-3,3-5,Os colegas não são para comer!,"O livro conta a história de Penélope, uma pequena cria de dinossauro T. Rex, que começa a frequentar o jardim de infância e não resiste a comer os seus colegas de escola. Apesar do esforço e dos avisos da professora, a Penélope não só tem muita dificuldade em controlar os seus impulsos, como rapidamente acaba sozinha, isolada e sem amigos. Até ao dia em que Walter, o peixinho da sala, decide comer a Penélope, e ela descobre que há coisas mais engraçadas (do que comê-los) para fazer com os colegas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=487246&img=51388&res=100&thb=1&pag=1,"Higgins, Ryan T.;Rafael, Helena, trad.","Lisboa : Gradiva, 2019",,Literatura Americana,087.5(5-10)
978-989-8205-75-9,3-5,As quatro estações [de] Vivaldi,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=369539&img=11037&res=150&thb=1&pag=1,"Abad Varela, José António;Urberauga, Emilio 1954-, il.;Chang, Sarah, interp.","Matosinhos : Kalandraka, 2019",,,087.5(5-10)
978-989-814-5383,3-5,Todos fazemos tudo,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=485018&img=51001&res=100&thb=1&pag=1,"Matoso, Madalena, 1974-","Carcavelos : Planeta Tangerina, 2011",,Fundo de Imagem,087.5(5-10)
978-989-749-125-2,3-5,O cão de Milu,"[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Peluche é o grande companheiro de brincadeiras e diversão de uma menina encantada com o seu muito peculiar animal de estimação. Esta é uma história de amor pelos animais, pela amizade incondicional e liberdade.",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=480623&img=49094&res=150&thb=1&pag=1,"Máray, Mariann, 1978-;Ramos, Elisabete, 1976-, trad.","Matosinhos, : Kalandraka, 2019",Livros para Sonhar,Literatura Húngara,087.5(5-10)
978-989-8145-96-3,3-5,Assim ou assado,"[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Passamos a vida a fazer escolhas: É preciso escolher: sim ou não? Laranja ou limão? Assim ou assado? Doce ou salgado? Decidir é bom porque nos ajuda a encontrar o nosso lugar no mundo. Mas nem sempre é fácil... Há com cada dilema! Este livro, que associa palavras e compara opostos, vai ajudar-nos a tirar conclusões.",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=480575&img=49049&res=150&thb=1&pag=1,"Pessoa, Ana, 1982-;Kono, Yara, 1972-, il.","Carcavelos : Planeta Tangerina, 2019",,Literatura Portuguesa,087.5(5-10)
978-989-8868-50-3,3-5,Mas porquê?,"[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Porque é que o mar é azul? O que são os buracos negros? Como se construíram as pirâmides? Afinal, a hora de ir dormir pode ser ainda mais desafiante do que pensávamos... Mas porquê? é a pergunta que tantas vezes fizemos em pequenos e que mais tarde nos vemos desafiados a responder. Mas, para cada criança curiosa, um adulto criativo, certo?",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=479879&img=48834&res=150&thb=1&pag=1,"Barnett, Mac, 1982-;Arsenault, Isabelle, 1978-, il.;Berhan, João, trad.","Lisboa : Orfeu Negro, 2019",Orfeu Mini,Literatura Americana,087.5(5-10)
978-989-749-116-0,3-5,"Urso castanho, urso castanho, o que vês aqui?","[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Animais e cores ao ritmo de uma narrativa encadeada de estrutura repetitiva que, no final, interpela os leitores a participar e interagir.",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=479877&img=48852&res=150&thb=1&pag=1,"Martin Jr., Bill, 1916-2004;Carle, Eric, 1929-2021, il.;Alves, Gabriela Rocha, 1959-, trad.","Matosinhos : kalandraka, 2019",Livros para sonhar,Literatura Americana,087.5(0-5)
978-989-665-805-2,3-5,Stephen Hawking,"[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Adequado às primeiras leituras, o livro condensa em poucas páginas a vida de um génio da humanidade. Um retrato simples de Stephen Hawking, desde a infância à carreira científica, que uma doença rara não destruiu, mas que o deixou preso a uma cadeira, é esclarecedor. Da sua cadeira, Hawking fez inúmeras descobertas e percorreu o tempo e o espaço centrando-se no estudo do universo. A profundidade do seu conhecimento e imensa determinação fazem dele uma das mentes mais brilhantes de sempre. Nunca se deixou dominar pelo desânimo e a sua vida transmite a mensagem, importante todos, de que os limites podem ser contrariados e ultrapassados.",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=479229&img=48527&res=150&thb=1&pag=1,"Sánchez Vegara, María Isabel;Hunt, Matt, il.;Tarradellas, Àlex, 1982-, il.;Custódio, Rita, 1980-, trad.","Lisboa : Nuvem de Letras, 2019","Meninos pequenos, grandes sonhos","Hawking, Stephen, 1942-2018",087.5(5-10)
978-972-53-0626-0,3-5,"Elementar, meu caro Mendeleev : a tabela periódica como nunca a viste","[Resumo da responsabilidade do Plano Nacional de Leitura 2027]O conhecimento científico pode ser difícil de explicar aos mais novos, especialmente quando relacionado com aspetos não visíveis à vista desarmada. Neste livro, as crianças são convidadas a juntar-se ao superdetetive Sherlock Ohms para investigar muitos “casos” químicos curiosos. Por entre BD’s atómicas e experiências científicas explosivas, mas fáceis de realizar, descobrem factos extraordinários sobre o ambiente onde vivem e conseguem até encontrar pistas para compreender o Universo. Este é um guia fascinante mesmo para os mais pequeninos (para ler com a ajuda dos pais ou de outro adulto), mas também importante para os menos jovens.",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=479122&img=48525&res=150&thb=1&pag=1,"Barfield, Mike;Humphrey, Lauren, il.;Lima, Jorge, trad.","Lisboa : Bizâncio, 2019",,Química,087.5:54
978-989-54051-7-6,3-5,O rei pequenino,[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Um rei pequenino vive infeliz num grande palácio. O casamento com uma grande princesa trará muitos filhos e com eles virão a alegria e a felicidade para darem um outro sabor à vida.,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=477948&img=48118&res=150&thb=1&pag=1,"Miura, Taro, 1968-;Machado, Elisabete Rosa, 1976-, trad.;Machado, D H., 1974-, trad.","[S.l.] : The Poets and Dragons, Society 2023",,Literatura Japonesa,087.5(0-5)
978-989-707-801-9,3-5,Eu e o meu medo,"[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Esta é a história de uma menina que muda de país e descobre como o (seu) pequeno Medo, que sempre a protegeu, pode tornar-se grande e gerar zanga, incompreensão, estranheza e solidão, mas também conforto e amizade. É pela mão da partilha e da cumplicidade que vimos o carácter transformador do Medo, fazedor de uma harmonia que cuida.",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=476262&img=47538&res=150&thb=1&pag=1,"Sanna, Francesca, 1991-;Ferreira, Susana Cardoso, 1972-, trad.","Amadora : Fábula, 2019",,Literatura Italiana,087.5(5-10)
978-972-24-1893-5,3-5,Viste a minha mãe?,"Na floresta, um macaco muito jovem procura a mãe; a ajuda dos outrps animais leva-o a encontrá-la para receber o mimo desejado. Álbum muito simples, com um texto que lembra as lengalengas, onde se trabalha a imagem da mãe no olhar do filho. Com um final pacificador, os autores souberam gerir a expectativa do leitor, que, naturalmente, partilha a angústia do macaquinho.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=474738&img=46878&res=150&thb=1&pag=1,"Donaldson, Julia, 1948-;Scheffler, Axel, 1957-, il.;Lopes, Raquel Dutra, 1983-, trad.","Lisboa : Livros Horizonte, 2018",Álbuns ; 58209,,087.5(5-10)
978-989-8868-49-7,3-5,A piscina,"[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Duas crianças encontram-se em pleno mergulho numa piscina a transbordar de veraneantes... A timidez e a surpresa dão lugar à imaginação, e juntas criam uma realidade de seres fantásticos. Nadam lado a lado com peixes unicórnio e uma carinhosa baleia branca. Espreitam as tocas de simpáticas minhocas aquáticas. Um álbum que brinca com os limites do real, joga com contrastes e celebra a amizade. Da capa à contracapa, uma obra-prima que dispensa palavras.",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=474726&img=46871&res=150&thb=1&pag=1,"Lee, JiHeon","Lisboa : Orfeu Negro, 2019",Orfeu Mini,Fundo de Imagem,087.5(5-10)
978-989-749-115-3,3-5,Cornelius : uma fábula de Leo Lionni,"Um livro sobre a diferença. Enquanto os outros crocodilos rastejam pelo chão, Cornelius anda de pé. É diferente e incompreendido. Mas quantas coisas mais consegue ver a partir daí...[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=473297&img=46324&res=150&thb=1&pag=1,"Lionni, Leo, 1910-1999;Alves, Gabriela Rocha, 1959-, trad.","Matosinhos : Kalandraka, 2019",Livros para sonhar,Pré-leitores,087.5(5-10)
978-989-749-111-5,3-5,O segredo do avô urso,"Nem nas árvores, nas tocas, nem na lagoa... Tanto guardou um segredo que, ao despertar da sua letargia invernal, o Avô Urso é incapaz de encontrá-lo.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=473288&img=46330&res=150&thb=1&pag=1,"Mañas, Pedro;Celej, Zuzanna, il.;Ramos, Elisabete, 1976-, trad.","Matosinhos, : kalandraka, 2019",Livros para Sonhar,Pré-leitores,087.5(5-10)
978-989-8888-41-9,3-5,O grande e ruim graou,"Graou, um lobo muito particular, gosta de estar sozinho e de fazer sestas ao sol... Até que, um dia, um encontro com uma menina muda a sua vida.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=473282&img=46292&res=150&thb=1&pag=1,"Chabbert, Ingrid, 1978-;Guridi, pseud., il.","Alcochete : Alfarroba, 2019",,Literatura Francesa,087.5(0-5)
978-989-749-113-9,3-5,O pirata valente,"O que acontece quando um intrépido pirata sobe ao mastro do seu navio e, no auge da aventura, ouve a mãe chamá-lo para ir lanchar? Fantasia e humor, em versos rimados.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=473236&img=46274&res=150&thb=1&pag=1,"Alcántara, Ricardo, 1946-;Gusti, 1963-, il.;Ramos, Elisabete, 1976-, trad.","Matosinhos : Kalandraka, 2019",Livros para Sonhar,Pré-leitores,087.5(0-5)
978-989-8145-91-8,3-5,Banana!,"É de manhã. O Sol acorda e, depois dele, o Mar, a Nuvem, o Icebergue, o Vento, a Floresta e o Vulcão. Quando finalmente chegam o Arco-íris e o seu Reflexo, o cenário torna-se perfeito para a fotografia que todos querem tirar. Uma ode à natureza e à sua paciência infinita para aturar olhares turísticos apressados e muitas, muitas selfies...[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=472320&img=45911&res=150&thb=1&pag=1,"Carvalho, Bernardo Pego de, 1973-","Carcavelos : Planeta Tangerina, 2019",,Pré-leitores,087.5(5-10)
978-989-8145-92-5,3-5,"Metade, metade","Metade deste livro fala de amor e a outra metade também. A meia voz, a meia luz, sem meias palavras nem meios termos, um menino faz a sua primeira declaração de amor. Quem nunca esteve apaixonado? Quem nunca acordou meio estremunhado, a meio de uma frase, e teve vontade de correr meio mundo pela sua cara metade?[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=472316&img=45910&res=150&thb=1&pag=1,"Martins, Isabel Minhós, 1974-;Matoso, Madalena, 1974-, il.","Carcavelos : Planeta Tangerina, 2019",,Pré-leitores,087.5(10-15)
978-989-8868-41-1,3-5,Um inverno perfeito,"O Outono chega à floresta e alguns dos seus habitantes preparam-se para uma longa sesta: o urso ressona, a marmota está ferrada no sono e a casa dos caracóis e das tartarugas mergulhou no silêncio. Mas o Texugo não tem sono. E tem um plano fabuloso para os meses que aí vêm...[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=472209&img=45847&res=150&thb=1&pag=1,"Sitja Rubio, Cristina, 1980-;Afonso, Maria, 1980-, trad.","Lisboa : Orfeu Negro, 2019",Orfeu Mini,Literatura Venezuelana,087.5(0-5)
978-989-8868-36-7,3-5,"Petit, o monstro","No fim de um dia cheio de contradições, o Petit precisa de um manual para saber o que fazer. Dizem-lhe que é um bom menino quando inventa histórias divertidas, e que é mau quando conta mentiras. Puxa os cabelos à colega de carteira, mas ela continua a sentar-se ao seu lado. “Afinal sou bom ou sou mau?”, pergunta o Petit.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=472204&img=45849&res=150&thb=1&pag=1,"Isol, 1972-;Afonso, Maria, 1980-, trad.","Lisboa : Orfeu negro, 2019",Orfeu Mini,Estórias sobre comportamento,087.5(5-10)
978-989-8868-51-0,3-5,"Eu, Alfonsina","Mais veloz do que o vento, certeira até à meta. Alfonsina Strada subiu e desceu montanhas, caiu e levantou-se, uma e outra vez. Numa época em que o desporto (e tanto mais...) estava vedado às mulheres, Alfonsina ficou conhecida como “A Rainha do Pedal” e foi a primeira mulher a participar no Giro d’Italia, em 1924.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=472199&img=45848&res=150&thb=1&pag=1,"Negrescolor, Joan;Oliveira, Carla, trad.","Lisboa : Orfeu Negro, 2019",Orfeu Mini,"Strada, Alfonsina, 1891-1959",087.5(5-10)
978-972-24-1894-2,3-5,Quando a tristeza chama,"Às vezes, a Tristeza chega sem avisar. Podemos deixá-la entrar para a compreender melhor.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=472196&img=45845&res=150&thb=1&pag=1,"Eland, Eva;Lopes, Raquel Dutra, 1983-, trad.","Lisboa : Livros Horizonte, 2019",Álbuns ; 58210,Literatura Holandesa,087.5(0-5)
978-989-8868-38-1,3-5,Regresso a casa,"Regresso a Casa é um álbum iluminado pela ternura do fim do dia, da rotina conhecida e da companhia dos pais, a caminhar por ruas familiares, até casa. As ilustrações parecem desenhadas a carvão e a cor surge em tons suaves mas transbordantes. As janelas dos vizinhos, iluminadas, deixam entrever vidas e pequenos prazeres. Aos olhos de uma criança (ou aos de um adulto) estas janelas são a entrada para um mundo imaginário sem limites![Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=472174&img=45807&res=150&thb=1&pag=1,"Miyakoshi, Akiko;Quintas, Nuno, trad.","Lisboa : Orfeu Negro, 2019",Orfeu Mini,Pré-leitores,087.5(0-5)
978-989-8868-15-2,3-5,Um dia de neve,"Clássico criado nos anos 60 do século XX pelo ilustrador norte-americano Ezra Jack Keats, conta a aventura e as brincadeiras de Pedro, o primeiro menino-herói negro dos álbuns para crianças, ao descobrir neve. Uma história de descoberta, espanto e amizade.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=457399&img=41385&res=150&thb=1&pag=1,"Keats, Ezra Jack, 1916-1983;Oliveira, Carla, trad.","Lisboa : Orfeu Negro, 2018",Orfeu Mini,Leitores iniciais,087.5(0-5)
978-989-8327-28-4,3-5,Como apanhar uma estrela,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&/winlibimg.aspx?skey=&doc=402230&img=22115&res=150&thb=1&pag=1,,,,,
978-972-793-208-5,3-5,Não há dragões nesta história,"O dragão, farto de ser o vilão das histórias com princesas e cavaleiros, decide partir em busca de uma história onde seja ele o herói. Mas vai ter de se esforçar muito para ver o seu desejo realizado.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=458765&img=41582&res=150&thb=1&pag=1,"Carter, Lou, 1975-;Allwright, Deborah, il.;Costa, Pedro, trad.","Galiza-Estoril : Minutos de Leitura, 2018",,Pré-leitores,087.5(5-10)
978-972-53-0617-8,3-5,O melro artista,"O melro sente-se muito triste por os outros animais troçarem das suas pernas magrinhas. Tenta vários estratagemas, mas nada lhe resolve o problema. Certo dia, depois de um grande passeio, entra numa Galeria de Arte e, inspirado, decide pintar o bico, todos os dias, à maneira de um grande pintor. Agora, até pode dar-se ao luxo de, às vezes, deixar o bico vermelho. Todos o elogiam e já nem se lembram das suas pernas magricelas.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=465012&img=43542&res=150&thb=1&pag=1,"Deuchars, Marion, 1964-;Lima, Jorge, trad.","Lisboa : Bizâncio, 2018",,Pré-leitores,087.5(5-10)
978-84-17440-19-0,3-5,De onde vêm as ideias?,"[Resumo da responsabilidade do Plano Nacional de Leitura 2027]Fazer desenhos bonitos é uma daquelas brincadeiras que estão mesmo à mão de semear, não fossem as ideias esconder-se precisamente quando as queremos ter! Júlia depara-se com essa situação e é pelas patas de Luke que é conduzida, com o apoio dos seus amigos, até um buraco enorme de uma árvore do bosque. Júlia e os seus amigos espreitam o desconhecido, desafiam a escuridão e, lá no fundo, uma luz acende a esperança do mágico encontro com as ideias.",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=478036&img=48146&res=150&thb=1&pag=1,"Amenós, Jordi, 1978-;Arrayás, Albert, 1990-, il.;Castel-Branco, Inês, 1977-, trad.","Barcelona : Akiara Books, 2022",Akialbum ; 7,Literatura Espanhola,087.5(5-10)
978-989-557-770-5,3-5,A oficina do Pai Natal,,http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=474860&img=46963&res=150&thb=1&pag=1,"Quental, Cristina, 1983-;Magalhães, Mariana, 1971-, co-autor;Serra, Sandra, 1968-, il.","Alfragide : Gailivro, 2010",Onde vamos hoje,,087.5(5-10)
978-989-749-103-0,3-5,Uma história,"O que acontece quando se está à espera de uma história? Será a imaginação, a fantasia, o divertimento?...[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=473347&img=46425&res=150&thb=1&pag=1,"Coppo, Marianna;Ramos, Elisabete, 1976-, trad.","Matosinhos : kalandraka, 2018",Livros para Sonhar,,087.5(5-10)
978-989-707-737-1,3-5,"O urso, o piano, o cão e o violino","Quando Heitor se reforma, após uma carreira brilhante como violinista, o seu cão Hugo começa a tocar violino e ganha fama, viajando pelo mundo com a Grande Banda do Urso. O dono sente-se abandonado.Bem lá no fundo, tem alguma inveja do sucesso do amigo de sempre... Um dia, quando ele volta à sua cidade, Heitor hesita entre ir ou não ao concerto. Sobrepor-se-á o orgulho à amizade?[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=473305&img=46325&res=150&thb=1&pag=1,"Litchfield, David, 1979-;Gomes, Luísa Costa, 1954-, trad.","Amadora : Fábula, 2018",,Literatura Inglesa,087.5(5-10)
978-989-707-670-1,3-5,Franklin e Luna vão à lua,"Luna e o dragão Franklin, que é o seu melhor amigo, adoram ler livros e ambicionam ser exploradores para poderem visitar todos os lugares das histórias que lêem. Um dia, Luna pergunta a Franklin onde vive a sua família... Mas ele não se lembra, pois já não a vê há 605 anos! É então que Luna propõe que partam numa aventura, à procura da família de Franklin.[Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=471346&img=45521&res=150&thb=1&pag=1,"Campbell, Jen;Harnett, Katie, il.;Ferreira, Susana Cardoso, 1972-, trad.","Amadora : Fábula, 2018",,Literatura Inglesa,087.5(5-10)
978-989-749-101-6,3-5,Pé ante pé,"A cauda do pintarroxo, meio pé. O pescoço do flamingo, o bico do tucano... Como uma lagarta com pés pode ser tão útil para medir coisas![Resumo da responsabilidade do Plano Nacional de Leitura 2027]",http://catalogolxi.cm-lisboa.pt/images/winlibimg.aspx?skey=&doc=473260&img=46290&res=150&thb=1&pag=1,"Lionni, Leo, 1910-1999;Alves, Gabriela Rocha, 1959-, trad.","Matosinhos : Kalandraka, 2018",Livros para sonhar,Pré-leitores,087.5(0-5)
